"Comment","Designator","Footprint","LCSC#"
"Hirose","Module1-1","DF40HC(3.0)-100DS-0.4V(51)","C424649"
"Hirose","Module1-2","DF40HC(3.0)-100DS-0.4V(51)","C424649"
